id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
84,VHS20-N02B-RZ_P001,VHS20-N02B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
85,VHS20-N02B-KZ_P001,VHS20-N02B-KZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
86,VHS20-N02B-B-Z_P001,VHS20-N02B-B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
87,VHS20-N02B-BS-Z_P001,VHS20-N02B-BS-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
88,VHS40-N03B-RZ_P001,VHS40-N03B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
89,VHS20-N02A-Z_P001,VHS20-N02A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
90,VHS20-N02A-S-Z_P001,VHS20-N02A-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
91,TU1610Y-100Z2_P001,TU1610Y-100Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
92,TU1610Y-100Z1_P001,TU1610Y-100Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
93,TU1611Y1-33-X74Z2_P001,TU1611Y1-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
94,TU1611W-33-X74Z2_P001,TU1611W-33-X74Z2_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
95,TU1611W-33-X74Z1_P001,TU1611W-33-X74Z1_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea28000066005280
