id,item_id,item_code,created_at,updated_at
113,18926,TU1611BU-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
114,12938,TU1611BU-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
115,18934,TU1611BU3-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
116,18933,TU1611BU2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
117,18932,TU1611BU1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
118,18935,TU1611BR1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
119,18925,TU1611B-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
120,12937,TU1611B-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
121,12043,TU1610YR-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
122,12936,TU1610YR-33-X108Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
123,20117,TU1610YR-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
124,19819,TU1610YR-33-X101USZ1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
125,12064,TU1610YR2-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
126,20138,TU1610YR2-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
127,5307,TU1610YR2-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
128,4664,TU1610YR2-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
129,5306,TU1610YR2-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
130,4663,TU1610YR2-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
131,11745,TU1610YR2-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
132,5265,TU1610YR-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
133,4622,TU1610YR-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
134,4501,TU1610YR-20Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
135,19000,TU1610YR-20-X214Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
136,4366,TU1610YR-20,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
137,12063,TU1610YR1-33-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
138,20137,TU1610YR1-33-X101USZ2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
139,5305,TU1610YR1-20Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
140,4662,TU1610YR1-20Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
141,5304,TU1610YR1-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
142,4661,TU1610YR1-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
143,11744,TU1610YR1-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
144,5264,TU1610YR-100Z34,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
145,4621,TU1610YR-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
146,4500,TU1610YR-100Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
147,19088,TU1610YR-100-X214Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
148,11724,TU1610YR-100-X108Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
149,12859,TU1610YR-100-X108Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
